stock,date,value
tesla,2019-03-14,289.959991
tesla,2019-03-15,275.429993
tesla,2019-03-18,269.48999
tesla,2019-03-19,267.470001
tesla,2019-03-20,273.600006
tesla,2019-03-21,274.019989
tesla,2019-03-22,264.529999
tesla,2019-03-25,260.420013
tesla,2019-03-26,267.769989
tesla,2019-03-27,274.829987
tesla,2019-03-28,278.619995
tesla,2019-03-29,279.859985
tesla,2019-04-01,289.179993
tesla,2019-04-02,285.880005
tesla,2019-04-03,291.809998
tesla,2019-04-04,267.779999
tesla,2019-04-05,274.959991
tesla,2019-04-08,273.200012
tesla,2019-04-09,272.309998
tesla,2019-04-10,276.059998
tesla,2019-04-11,268.420013
tesla,2019-04-12,267.700012
tesla,2019-04-15,266.380005
tesla,2019-04-16,273.359985
tesla,2019-04-17,271.230011
tesla,2019-04-18,273.26001
tesla,2019-04-22,262.75
tesla,2019-04-23,263.899994
tesla,2019-04-24,258.660004
tesla,2019-04-25,247.630005
tesla,2019-04-26,235.139999
tesla,2019-04-29,241.470001
tesla,2019-04-30,238.690002
tesla,2019-05-01,234.009995
tesla,2019-05-02,244.100006
tesla,2019-05-03,255.029999
tesla,2019-05-06,255.339996
tesla,2019-05-07,247.059998
tesla,2019-05-08,244.839996
tesla,2019-05-09,241.979996
tesla,2019-05-10,239.520004
tesla,2019-05-13,227.009995
tesla,2019-05-14,232.309998
tesla,2019-05-15,231.949997
tesla,2019-05-16,228.330002
tesla,2019-05-17,211.029999
tesla,2019-05-20,205.360001
tesla,2019-05-21,205.080002
tesla,2019-05-22,192.729996
tesla,2019-05-23,195.490005
tesla,2019-05-24,190.630005
tesla,2019-05-28,188.699997
tesla,2019-05-29,189.860001
tesla,2019-05-30,188.220001
tesla,2019-05-31,185.160004
tesla,2019-06-03,178.970001
tesla,2019-06-04,193.600006
tesla,2019-06-05,196.589996
tesla,2019-06-06,205.949997
tesla,2019-06-07,204.5
tesla,2019-06-10,212.880005
tesla,2019-06-11,217.100006
tesla,2019-06-12,209.259995
tesla,2019-06-13,213.910004
tesla,2019-06-14,214.919998
tesla,2019-06-17,225.029999
tesla,2019-06-18,224.740005
tesla,2019-06-19,226.429993
tesla,2019-06-20,219.619995
tesla,2019-06-21,221.860001
tesla,2019-06-24,223.639999
tesla,2019-06-25,219.759995
tesla,2019-06-26,219.270004
tesla,2019-06-27,222.839996
tesla,2019-06-28,223.460007
tesla,2019-07-01,227.169998
tesla,2019-07-02,224.550003
tesla,2019-07-03,234.899994
tesla,2019-07-05,233.100006
tesla,2019-07-08,230.339996
tesla,2019-07-09,230.059998
tesla,2019-07-10,238.919998
tesla,2019-07-11,238.600006
tesla,2019-07-12,245.080002
tesla,2019-07-15,253.5
tesla,2019-07-16,252.380005
tesla,2019-07-17,254.860001
tesla,2019-07-18,253.539993
tesla,2019-07-19,258.179993
tesla,2019-07-22,255.679993
tesla,2019-07-23,260.170013
tesla,2019-07-24,264.880005
tesla,2019-07-25,228.820007
